Application,Length(mm),Width(um),Frequency(MHz),Power(nWatts)
6,1,0.25,0.25,0.00174
6,1,0.4,0.25,0.001314
6,1,0.8,0.25,0.0009858
6,1,1,0.25,0.0009104
6,1,0.1,0.187,0.001673
6,1,0.25,0.187,0.0009475
6,1,0.4,0.187,0.0007186
6,1,0.8,0.187,0.5424
6,1,1,0.187,0.0004962
6,1,0.1,0.1,0.000465
6,1,0.25,0.1,0.0002638
6,1,0.4,0.1,0.0002002
6,1,0.8,0.1,0.000149
6,1,1,0.1,0.0001369
6,1,0.1,0.025,0.00002875
6,1,0.25,0.025,0.00001634
6,1,0.4,0.025,0.00001239
6,1,0.8,0.025,0.000009199
6,1,1,0.025,0.000008358
6,1,0.1,0.01,0.000004568
6,1,0.25,0.01,0.000002595
6,1,0.4,0.01,0.000001968
6,1,0.8,0.01,0.000001461
6,1,1,0.01,0.000001337
1,1,1,128,120.1
1,2.5,1,128,641.7
1,5,1,128,0.00211
1,7,1,128,0.003737
1,1,1,64,46.37
1,2.5,1,64,283.4
1,5,1,64,992.1
1,7,1,64,0.0018
2,1,1,128,120.1
2,2.5,1,128,641.7
2,5,1,128,0.00211
2,7,1,128,0.003737
2,1,1,96,81.86
2,2.5,1,96,460.7
2,5,1,96,1.549
2,7,1,96,0.00277
2,1,1,64,46.37
2,2.5,1,64,283.4
2,5,1,64,992.1
2,7,1,64,0.0018
4,1,1,46.73,28.83
4,2.5,1,46.73,189.6
4,5,1,46.73,691.4
4,1,1,38.016,20.96
4,2.5,1,38.016,143.8
4,5,1,38.016,540.4
4,1,1,37.958,20.89
4,2.5,1,37.958,143.5
4,5,1,37.958,539.4
4,1,1,24.634,10.06
4,2.5,1,24.634,77.62
4,5,1,24.634,313.8
4,1,1,4.06,0.3441
4,2.5,1,4.06,3.411
4,5,1,4.06,18.74
4,1,1,2.083,0.09183
4,2.5,1,2.083,0.9392
4,5,1,2.083,5.354
4,1,1,0.5,0.005659
4,2.5,1,0.5,0.05544
4,5,1,0.5,0.3299
4,1,1,0.193,0.000863
4,2.5,1,0.193,0.008885
4,5,1,0.193,0.0495
5,1,1,4.063,0.3441
5,2.5,1,4.063,3.411
5,5,1,4.063,18.74
5,1,1,2.083,0.09183
5,2.5,1,2.083,0.9392
5,5,1,2.083,5.354
6,1,1,1,0.02154
6,2.5,1,1,0.22
6,5,1,1,1.288
